slope,aspect,twi,rainfall,ndvi,landcover,river_proximity,landslide
40.141354,93.301285,14.566729,24495.367,0.6347161,10.0,1314.4515,1
56.480625,46.66768,14.272952,28701.984,0.66460615,10.0,1820.5771,1
44.889698,103.15011,14.653845,24495.367,0.57443994,30.0,1254.7827,1
38.349735,95.87184,14.570622,24495.367,0.6888011,10.0,1224.9478,1
40.70292,90.0,14.490927,24495.367,0.72258174,10.0,1195.1138,1
48.98801,103.84653,14.759684,24495.367,0.7343837,10.0,1135.4456,1
40.940506,351.50662,14.302935,24495.367,0.7270479,10.0,1016.1116,1
45.11894,330.5189,14.293366,24495.367,0.6883614,10.0,896.77356,1
55.534794,33.55756,14.427166,28701.984,0.71641403,10.0,1994.7433,1
31.897156,250.23732,14.420019,24495.367,0.416941,30.0,479.02393,1
23.28565,19.891644,14.822042,28701.984,0.40253532,10.0,425.8245,1
37.14368,228.51103,14.10686,24495.367,0.5536781,10.0,122.185295,1
35.0018,96.63737,14.797231,28701.984,0.6439047,10.0,959.70105,1
27.655018,227.18562,14.45055,24495.367,0.3324587,30.0,201.47322,1
57.606907,209.19337,13.775621,24495.367,0.4678423,10.0,379.87515,1
47.422955,202.75694,13.735926,24495.367,0.298206,30.0,42.89802,1
39.714172,173.67406,14.602203,24495.367,0.44076735,30.0,796.15546,1
60.260117,213.65958,14.179371,24495.367,0.43891326,30.0,300.5854,1
34.9575,198.31233,14.202276,24495.367,0.4001192,30.0,181.65312,1
49.846706,210.63863,14.182636,24495.367,0.41921782,30.0,677.2133,1
37.916847,184.04256,14.530637,24495.367,0.21852003,30.0,597.92114,1
25.435343,74.19898,14.956665,28701.984,0.45987117,10.0,687.95557,1
33.78183,217.01093,14.291535,24495.367,0.5018526,30.0,142.01288,1
35.452442,50.46417,14.924491,28701.984,0.6325447,10.0,1235.874,1
37.715572,58.44484,14.78799,28701.984,0.77746564,10.0,1319.754,1
37.87406,142.27106,14.498842,24495.367,0.3451722,30.0,934.9033,1
52.690994,217.86203,14.07103,24495.367,0.47355,30.0,578.0964,1
38.274517,224.10538,14.20038,24495.367,0.3565669,30.0,439.34244,1
33.103554,107.33412,14.894156,28701.984,0.6531793,10.0,1384.5814,1
46.006927,239.99245,13.987377,24495.367,0.5019463,10.0,340.23383,1
33.616158,148.45592,14.588164,28701.984,0.45227075,30.0,473.1708,1
36.161358,126.72865,14.59844,28701.984,0.47929168,30.0,450.3974,1
32.51711,120.521355,14.546277,28701.984,0.4462339,30.0,601.2856,1
28.215101,324.54944,14.370457,24495.367,0.7210193,10.0,281.89664,1
40.511517,303.32767,14.524411,24495.367,0.7170796,10.0,1015.1702,1
